locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	圆锥曲线、二次平面曲线	；；表面
cmn-Latn-CN	yuánzhuī qūxiàn, èrcì píngmiàn qūxiàn	; ; biǎo miàn
dan-Latn-DK		; ; 
deu-Latn-DE	Kegelschnitt [n]	; ; Oberfläche
eng-Latn-US	conic section, quadratic curve	conic section; curve; surface (geometry)
fin-Latn-FI		; ; 
fra-Latn-FR	conique [f]	; ; surface [f]
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	えんすいきょくせん	; ; ひょうめん
jpn-Jpan-JP	円錐曲線	；；表面
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	ко́ника, кони́ческое сече́ние	; ; пове́рхность
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
