locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	动量	积；燃烧热、热值；速度
cmn-Latn-CN	dòngliàng	jī; ránshāorè, rèzhí; sùdù
dan-Latn-DK		; ; 
deu-Latn-DE	Impuls [m]	Brennwert [m]; Geschwindigkeit; Produkt [n]
eng-Latn-US	linear momentum, momentum, translational momentum	calorific value, energy value, heat of combustion, heating value; product; velocity
fin-Latn-FI		; ; 
fra-Latn-FR	quantité de mouvement	chaleur [f] de combustion, pouvoir calorifique; produit; vecteur vitesse, vélocité
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	うんどうりょう	せき；そくど；ねんしょうねつ
jpn-Jpan-JP	運動量	積；速度；燃焼熱
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	и́мпульс, коли́чество движе́ния	произведе́ние; ско́рость; уде́льная теплота́ сгора́ния то́плива
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
