locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	底数（指数）、基数（指数）	幂运算、指数运算
cmn-Latn-CN	dǐshù (zhǐshù), jīshù (zhǐshù)	mìyùnsuàn, zhǐshù yùnsuàn
dan-Latn-DK		
deu-Latn-DE	Basis [f] (Potenz)	Potenz
eng-Latn-US	base (exponentiation)	exponentiation
fin-Latn-FI		
fra-Latn-FR	base [f] (exponentiation)	exponentiation [f]
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	てい（べきえんざん）	べきえんざん、べきじょう
jpn-Jpan-JP	底（冪演算）	冪演算、冪乗
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	основа́нием (возведе́ние в сте́пень)	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
