locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	乘数	乘法；运算数、运算元
cmn-Latn-CN	chéngshù	chéngfǎ; yùnsuànshù, yùnsuànyuán
dan-Latn-DK		; 
deu-Latn-DE	MultiplikatorGeneralnenn	Multiplikation; Operand [m]
eng-Latn-US	multiplier	multiplication; operand
fin-Latn-FI		; 
fra-Latn-FR	multiplicateur	multiplication; opérande [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	じょうすう	じょうほう；ひえんざんし
jpn-Jpan-JP	乗数	乗法；被演算子
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	мно́житель	опера́нд; умноже́ние
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
