locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	诺莫图、列线图	；函数
cmn-Latn-CN	Nuòmò tú, lièxiàntú	; hánshù
dan-Latn-DK		; 
deu-Latn-DE	Nomogramm [n]	; Funktion
eng-Latn-US	abac, alignment chart, nomogram, nomograph	analog computer; function
fin-Latn-FI		; 
fra-Latn-FR	nomogramme [m]	; fonction
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	けいさんずひょう、ノモグラフ、ノモグラム	; 
jpn-Jpan-JP	計算図表、ノモグラフ、ノモグラム	；
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	номогра́мма	; 
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
