locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	二项式	多项式；单项式
cmn-Latn-CN	èrxiàngshì	duōxiàngshì; dānxiàngshì
dan-Latn-DK		; 
deu-Latn-DE	Binom [n]	Monom [n]; Polynom [n]
eng-Latn-US	binomial	monomial; polynomial
fin-Latn-FI		; 
fra-Latn-FR	binôme [m]	monôme [m]; polynôme [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	にこうしき	たこうしき; たんこうしき
jpn-Jpan-JP	二項式	多項式；単項式
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	бино́м, двучле́н	многочле́н, полино́м; моно́м, одночле́н
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
