locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	可约多项式	多项式；因式分解
cmn-Latn-CN	kěyuē duōxiàngshì	duōxiàngshì; yīnshì fēnjiě
dan-Latn-DK		; 
deu-Latn-DE	reduzibles Polynom	Faktorisierung; Polynom [n]
eng-Latn-US	reducible polynomial	factoring, factorization; polynomial
fin-Latn-FI		; 
fra-Latn-FR	polynôme [m] réductible	factorisation; polynôme [m]
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	かやくたこうしき	；たこうしき
jpn-Jpan-JP	可約多項式	；多項式
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	приводимый многочле́н	; многочле́н, полино́м
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
