locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	变速直线运动	匀速运动；直线运动
cmn-Latn-CN	biànsù zhíxiàn yùndòng	yúnsù yùndòng; zhíxiàn yùndòng
dan-Latn-DK		; 
deu-Latn-DE	ungleichförmige geradlineare Bewegung	gleichförmige Bewegung; gradlinige Bewegung, lineare Bewegung
eng-Latn-US	non-uniform linear motion, non-uniform rectilinear motion	linear motion, rectilinear motion; uniform motion
fin-Latn-FI		; 
fra-Latn-FR	mouvement rectiligne non uniforme	mouvement rectiligne; mouvement uniforme
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ひとうそくちょくせんうんどう、ふとうそくちょくせんうんどう	ちょくどうせんうんどう; とうそくうんどう
jpn-Jpan-JP	非等速直線運動、不等速直線運動	直動線運動；等速運動
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	неравноме́рное прямолине́йное движе́ние	прямолине́йное движе́ние; равноме́рное движе́ние
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
