locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	陈述	逻辑联结词、逻辑运算符
cmn-Latn-CN	chénshù	luóji liánjié cí, luóji yùnsuàn fú
dan-Latn-DK		
deu-Latn-DE	Aussagesatz [m]	Logische Verknüpfung
eng-Latn-US	statement	logical connective, logical operator, sentential connective, sentential operator
fin-Latn-FI		
fra-Latn-FR		connecteur [m] logique
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP		ろんりえんざんし、ろんりけつごうし
jpn-Jpan-JP		論理演算子、論理結合子
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		логи́ческая свя́зка, логи́ческий опера́тор, пропозициона́льная свя́зка
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
